id_trip,mode,distance_m,duration,weekday,morning,midday,afternoon,evening,midnight,lat,long
144654,3,2090.9419055869816,744,1,0,0,0,0,1,45.47418399999993,-73.583862
34452,0,672.2924344947222,657,1,0,0,0,0,1,45.510611999999924,-73.563998
2991,6,971.0346620162236,1086,1,0,0,0,0,1,45.51218599999995,-73.56181800000002
314133,2,671.7744849483369,155,1,0,0,0,0,1,45.659857999999936,-73.51381299999998
36309,2,2772.9944210018302,557,1,0,0,0,0,1,45.53629799999993,-73.607775
45863,2,16426.302327736823,1037,1,0,0,0,0,1,45.55577799999993,-73.58566000000002
358700,3,2530.207385147212,1492,1,0,0,0,0,1,45.481895999999935,-73.59239199999998
88682,6,486.8579156308746,1121,1,0,0,0,0,1,45.540359999999936,-73.62003399999998
446594,2,31138.9583683398,2560,1,1,0,0,0,0,45.454737999999935,-73.74753
464374,3,1985.8833807130145,832,1,1,0,0,0,0,45.53704899999993,-73.54989199999999
101335,3,5115.6271227068955,1465,1,1,0,0,0,0,45.509609999999924,-73.61315099999999
369013,2,9846.638901518105,1401,1,0,1,0,0,0,45.47349899999993,-73.582459
364569,2,9848.924179761454,879,1,0,1,0,0,0,45.550660999999934,-73.54531800000002
385142,1,15683.425178285059,3837,1,0,1,0,0,0,45.503022999999935,-73.57257600000001
191958,2,3704.1527585825934,1057,1,0,1,0,0,0,45.44300099999993,-73.62254100000003
345133,2,1290.7608246597274,502,1,0,1,0,0,0,45.49626399999993,-73.840337
452030,2,6500.370675269529,1008,1,0,1,0,0,0,45.566648999999934,-73.752034
471418,1,255.26067497333648,445,1,0,1,0,0,0,45.497832999999936,-73.619875
60433,3,5095.928630090988,1042,1,0,1,0,0,0,45.495181999999936,-73.57985300000001
5148,2,1374.7090790781076,793,1,0,1,0,0,0,45.43246199999993,-73.63003899999998
266233,1,1073.8635022224466,1931,1,0,1,0,0,0,45.50680099999993,-73.81983300000002
340873,1,3122.1215557590635,2323,1,0,1,0,0,0,45.53482099999993,-73.569836
80704,2,5588.180394384012,1025,1,0,1,0,0,0,45.54175399999993,-73.501419
184277,2,308.53537385124247,954,1,0,1,0,0,0,45.521321999999934,-73.469778
317018,1,9963.870996772614,3031,1,0,0,1,0,0,45.49579599999992,-73.579453
462367,2,9728.535230424885,1290,1,0,1,0,0,0,45.60333499999993,-73.52601100000003
289934,3,2268.048253056947,1696,1,0,0,1,0,0,45.52489699999993,-73.584711
321959,2,2430.158940940352,333,1,0,0,1,0,0,45.519896999999936,-73.46678100000003
168664,2,10981.630671473367,721,1,0,0,1,0,0,45.55537899999993,-73.712867
12346,2,3689.0995648285325,568,1,0,0,1,0,0,45.539861999999935,-73.54347900000002
178341,2,8414.57439796168,1521,1,0,0,1,0,0,45.56353599999995,-73.642673
346920,3,4444.280430154869,1272,1,0,0,1,0,0,45.54794899999993,-73.60704900000002
217594,0,1500.9040718611004,2634,1,0,0,1,0,0,45.538980999999936,-73.63121600000002
161306,2,22427.878774587974,1508,1,0,0,1,0,0,45.56239499999993,-73.721264
428276,3,1893.0694249716632,552,1,0,0,1,0,0,45.52882699999991,-73.56365599999998
226573,0,329.5766709270748,1529,1,0,0,1,0,0,45.50886899999993,-73.561677
221659,2,1820.0575820989905,271,1,0,0,1,0,0,45.53694999999993,-73.469131
58860,0,53.476118778235254,120,1,0,0,1,0,0,45.5019599999999,-73.57100600000003
400838,1,317.8885265101715,304,1,0,0,1,0,0,45.49013999999993,-73.58355
244345,0,869.3044760515288,523,1,0,0,1,0,0,45.65269999999993,-73.510662
403884,3,2057.829729770367,453,1,0,0,1,0,0,45.51457099999993,-73.609387
328899,3,1994.5064952881312,791,1,0,0,1,0,0,45.531610999999934,-73.61694399999998
49949,0,432.35130067969396,643,1,0,0,1,0,0,45.498724999999936,-73.552878
113016,0,356.7729098134775,618,1,0,0,1,0,0,45.49463799999993,-73.58049399999999
237030,3,3196.896770281367,749,1,0,0,1,0,0,45.518882999999924,-73.57179000000002
476878,3,3581.330212026909,1459,1,0,0,1,0,0,45.498724999999936,-73.552878
