id_trip,lat,long
3374959,45.43665647,-73.59826289
3152792,45.54081396,-73.60371256
2932979,45.54081396,-73.60371256
2840883,45.54081396,-73.60371256
3130998,45.54000781,-73.5995815
2840886,45.55629498,-73.61816649
2906218,45.54000781,-73.5995815
3221176,45.48876542,-73.58372225
3580170,45.51936578,-73.55179946
2713076,45.485431,-73.627937
3453346,45.47678752,-73.63657381
1632244,45.46323574,-73.70507147
3537458,45.52051391,-73.55428087
2068742,45.53179017,-73.56526888
2266627,45.51391022,-73.57261247
2259671,45.52701024,-73.58603266
1982545,45.56654161,-73.65551156
2309574,45.53277429,-73.56736977
1735206,45.52922816,-73.6107121
1926345,45.52922816,-73.6107121
1926346,45.54090404,-73.60844292
1949661,45.54000781,-73.5995815
2713324,45.54207542,-73.64300718
2713077,45.5461956,-73.65716756
2004081,45.43705328,-73.61649724
1982948,45.49353318,-73.4792173
3415865,45.53805368,-73.60618767
3221204,45.53805368,-73.60618767
1632330,45.53135883,-73.61280237
1693043,45.48558746,-73.56274493
2004091,45.42279157,-73.60622974
2265519,45.42279157,-73.60622974
3570524,45.48524407,-73.62781506
2004092,45.50283984,-73.56070563
2310330,45.40333909,-73.19563416
2004094,45.42313274,-73.60706855
2004106,45.46276579,-73.56702253
2267897,45.53290124,-73.5676384
2004109,45.4365423,-73.62731347
2004113,45.44725156,-73.62111569
3219147,45.54389198,-73.61071833
1971636,45.48216121,-73.56116821
2147005,45.48216121,-73.56116821
1436550,45.49330331,-73.55743182
3078300,45.53014093,-73.64659122
3444630,45.53014093,-73.64659122
2004117,45.46173774,-73.56296701
3078302,45.53706118,-73.62516751
2648481,45.48238506,-73.81214431
1632373,45.75140405,-74.01205934
2004124,45.42219015,-73.60462732
3078305,45.46789115,-73.62376056
1436612,45.53293665,-73.80336094
2428028,45.47083132,-73.6060261
2648599,45.48062446,-73.57728749
1947232,45.54000781,-73.5995815
1947476,45.54000781,-73.5995815
3583160,45.54000781,-73.5995815
2933013,45.54897334,-73.59156746
1632439,45.48348431,-73.69486397
1802632,45.49813396,-73.62632605
3431631,45.5146832,-73.64571126
2004134,45.46052858,-73.57590843
2068247,45.51857832,-73.5686169
2838368,45.49126874,-73.62238626
2670830,45.49126874,-73.62238626
3285031,45.42132752,-73.64823014
3285036,45.35940621,-73.72344784
2963819,45.48769083,-73.56894743
3140121,45.48769083,-73.56894743
1680542,45.47449195,-73.62381477
2862610,45.47943616,-73.62372609
3283967,45.44792682,-73.61026348
3151733,45.46613536,-73.55094156
3168338,45.59350991,-73.54048373
2905318,45.53183992,-73.57228117
3384541,45.53316521,-73.5965505
1454915,45.44200005,-73.66577864
3592918,45.49464332,-73.55893787
3012133,45.55761214,-73.63547074
1939621,45.47627949,-73.62219907
3031183,45.52759625,-73.61221042
2451405,45.54233721,-73.6071704
2379408,45.5762504,-73.54701472
2187864,45.58173919,-73.53905971
2729893,45.57476975,-73.57391732
1815408,45.63277139,-73.4403918
2574933,45.51056213,-73.72912406
2049145,45.53511174,-73.15701004
1829842,45.47425689,-73.58740094
2036183,45.4904231,-73.56033137
1473929,45.48200149,-73.56520642
1441999,45.45511137,-73.85176496
2909506,45.50247233,-73.56671617
3059187,45.48808006,-73.58805189
2963821,45.48339778,-73.57443862
3202723,45.50424477,-73.61796131
3059343,45.3592014,-73.72153076
1442025,45.45788234,-73.8639506
3021234,45.60987967,-73.6220735
2731313,45.54186887,-73.6296078
3285044,45.35824296,-73.756639
3384546,45.5661837,-73.55678104
3171406,45.3829603,-73.54147711
1920663,45.56642428,-73.18285854
2001023,45.49188482,-73.58153688
1790764,45.52719102,-73.5135606
3431635,45.53135883,-73.61280237
2196514,45.50243751,-73.51381542
2270662,45.55058091,-73.64020441
1435642,45.49357483,-73.58170453
1701058,45.574491,-73.65994497
2773284,45.47729302,-73.63389557
3491385,45.56291312,-73.64791542
3081744,45.5558924,-73.7502546
1701060,45.57633715,-73.58366413
