id_trip,Leisure_opened,Food_opened,Shopping_opened,Education_opened,Health_opened
4020,0.0,1.0,0.0,0.0,0.0
4031,0.0,0.5,0.0,0.0,0.0
4041,0.0,0.0,0.5,0.0,0.0
4134,0.0,0.0,0.0,0.0,0.0
4138,0.0,0.6666666666666666,0.0,0.0,0.0
4232,0.0,0.0,0.0,0.0,0.0
4236,0.0,1.0,0.0,0.0,0.0
4426,0.0,0.0,0.0,0.0,0.0
4475,0.0,1.0,0.0,0.0,0.0
4548,0.0,0.0,0.0,0.0,0.0
4814,0.3333333333333333,0.0,0.0,0.0,0.0
4851,0.0,0.0,0.0,0.0,0.0
4910,0.0,0.0,0.0,0.0,0.0
4916,0.0,0.0,0.0,0.0,0.0
5149,0.0,1.0,0.0,0.0,0.0
5152,0.0,0.0,0.0,0.0,0.0
5213,0.0,1.0,0.0,0.0,0.0
5408,0.25,0.0,0.0,0.0,0.0
5545,0.0,0.0,0.0,0.0,0.0
5636,0.0,0.0,0.0,0.0,0.0
5764,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091
5843,0.0,0.0,0.0,0.0,0.0
5889,0.0,0.0,0.0,0.0,0.0
5909,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0
6052,0.0,0.0,0.0,0.0,0.0
6112,0.0,0.0,1.0,0.0,0.0
6185,0.0,0.2222222222222222,0.0,0.0,0.0
6194,1.0,0.0,0.0,1.0,0.0
6195,0.0,0.0,0.0,0.0,0.0
6265,0.0,0.0,0.0,0.0,0.0
6296,0.0,0.0,0.0,0.0,0.0
6548,0.0,0.0,0.0,0.0,0.0
6699,0.0,0.0,0.0,0.0,0.0
6735,0.0,0.0,0.0,0.0,0.0
6776,0.0,0.6666666666666666,0.0,0.0,0.0
6841,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0
6881,0.0,0.0,0.0,0.0,0.0
6907,0.0,1.0,0.0,0.0,0.0
7026,1.0,0.0,0.0,1.0,0.0
7052,0.0,0.0,0.0,0.0,0.0
7065,0.0,0.0,0.0,0.0,0.0
7141,0.0,0.5,0.0,0.0,0.0
7421,0.0,0.0,0.0,0.0,0.0
7479,0.25,0.25,0.0,0.0,0.0
7612,0.0,0.0,0.0,0.0,0.0
7619,0.0,0.2,0.0,0.0,0.0
7647,0.0,0.5,0.0,0.0,0.0
7690,0.0,0.0,0.0,0.0,0.0
7821,0.0,0.3333333333333333,0.0,0.0,0.0
7836,0.0,1.0,0.0,0.0,0.0
7865,0.0,0.0,1.0,0.0,0.0
7904,0.0,0.5,0.0,0.0,0.0
7919,0.0,0.0,0.0,0.0,0.0
7948,0.5,1.0,0.0,0.0,0.0
7983,0.0,0.0,0.0,0.0,0.0
7986,0.0,1.0,0.0,0.0,0.0
8045,0.0,0.0,0.0,0.0,0.0
8074,0.0,0.0,0.0,0.0,0.0
8120,0.0,0.0,0.0,0.0,0.0
8165,0.0,0.0,0.0,0.0,1.0
8168,0.0,0.0,0.0,0.0,0.0
8181,0.0,0.0,0.0,0.0,0.0
8220,0.0,0.18181818181818182,0.0,0.0,0.0
8385,0.0,0.25,0.0,0.0,0.25
8405,0.0,0.0,0.0,0.0,0.0
8497,0.0,1.0,0.0,0.0,0.0
8522,0.0,0.0,0.0,0.0,0.0
8559,0.0,0.0,0.0,0.0,0.0
8613,0.0,1.0,0.0,0.0,0.0
8616,0.0,0.0,0.0,0.0,0.0
8647,0.0,0.2222222222222222,0.0,0.0,0.0
8709,0.0,0.0,0.0,0.0,0.0
8760,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
8775,0.0,0.0,0.0,0.0,0.0
8795,0.0,0.0,0.0,0.0,0.0
8935,0.0,0.14285714285714285,0.0,0.0,0.0
8969,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333
9005,0.0,0.5,0.0,0.0,0.0
9033,0.0,0.5,0.0,0.0,0.0
9044,0.0,0.0,0.0,0.0,1.0
9204,0.0,1.0,0.0,0.0,0.0
