name,opening_hours,amenity,tourism,shop,healthcare,leisure,sport,craft,building,geometry
Banque Scotia,Mo-Fr 10:00-20:00; Sa 09:30-16:00,bureau_de_change,,,,,,,,POINT (-73.569574 45.503135)
McDonald's,24/7,fast_food,,,,,,,,POINT (-73.569424 45.503352)
Burger King,24/7,fast_food,,,,,,,,POINT (-73.5685891 45.5042152)
Pharmaprix,until 22h,pharmacy,,,pharmacy,,,,,POINT (-73.56738199999999 45.505377)
Eggspectation,"Mo-We, Su 06:00-20:00; Th-Sa 07:00-16:00",restaurant,,,,,,,,POINT (-73.565653 45.507302)
Micro-Bytes,Mo-We 9:00-18:00; Th-Fr 9:00-21:00; Sa 10:00-17:00; Su 12:00-17:00,,,computer,,,,,,POINT (-73.56716299999999 45.502602)
Simons,"Mo-We 10:00-18:00, Th,Fr 10:00-21:00, Sa 10:00-17:30, Su 11:00-17:30;Mo-We:10:00-18:00;Th-Fr:10:00-21:00;Sa:10:00-17:30;Su:11:00-17:30",shop|clothes,,department_store,,,,,,POINT (-73.57218829999999 45.5011512)
Marché Real,"Mo-Sa 07:30-22:30, Su 08:30-22:00",,,convenience,,,,,,POINT (-73.5578094 45.5442473)
Petit Medley (Le),15:00-3:00,bar,,,,,,,,POINT (-73.6002719 45.5346631)
Couche-Tard,"Mo-Fr 06:00-24:00; Sa,Su 07:00-24:00",,,convenience,,,,,,POINT (-73.5213555 45.5237999)
Tim Hortons,Su 06:30-23:00; Mo-Fr 05:00-24:00; Sa 06:15-24:00,cafe,,,,,,,,POINT (-73.5213096 45.5244603)
Second Cup,Mo-Fr 06:30-22:00; Sa-Su 07:30-22:00,cafe,,,,,,,,POINT (-73.58036180000001 45.5265023)
BMO,Mo-Fr 09:00-17:00,bank,,,,,,,,POINT (-73.5580695 45.5048676)
Webster Library,24/7,library,,,,,,,,POINT (-73.5779337 45.4968158)
Icebreaker,"Mo-We,Sa 10:00-18:00, Th,Fr 10:00-21:00, Su 11:00-17:00",,,clothes,,,,,,POINT (-73.5773895 45.4957046)
Pharmaprix,Mo-Su 08:00-00:00,pharmacy,,,pharmacy,,,,,POINT (-73.57732249999999 45.495244)
Arc'teryx,"Mo-We,Sa 10:00-18:00; Th,Fr 10:00-21:00; Su 11:00-17:00",,,clothes,,,,,,POINT (-73.5773279 45.4957928)
Bier Markt Montreal,"Mo-We 11:30-24:00, Th 11:30-02:00, Fr,Sa 11:30-03:00, Su 11:30-24:00",restaurant,,,,,,,,POINT (-73.57205190000001 45.4973665)
Wrap City,Mo-Fr 07:00-23:00;Sa 08:00-23:00;Su 08:00-22:00,fast_food,,,,,,,,POINT (-73.5758903 45.4999965)
Le Sainte-Élisabeth,Mo-Su 15:00-03:00,bar,,,,,,,,POINT (-73.5622913 45.512313)
CIBC,"Mo-We,Fr 09:30-17:00; Th 09:30-19:00",bank,,,,,,,,POINT (-73.57574169999999 45.5023128)
