precipitation,temperature,dt
0.0,24.11911064919701,2017-09-25 01:00:00
0.0,23.561333631976197,2017-09-25 02:00:00
0.0,23.0806477472168,2017-09-25 03:00:00
0.0,22.434648792312885,2017-09-25 04:00:00
0.0,21.885116815997037,2017-09-25 05:00:00
0.0,21.338470603997962,2017-09-25 06:00:00
0.0,21.063910741862628,2017-09-25 07:00:00
4.98616403714347e-07,20.63434411071404,2017-09-25 08:00:00
4.98616403714347e-07,20.252186464768954,2017-09-25 09:00:00
4.98616403714347e-07,20.048946206461608,2017-09-25 10:00:00
4.98616403714347e-07,20.074093581221746,2017-09-25 11:00:00
4.98616403714347e-07,20.82892707607118,2017-09-25 12:00:00
4.98616403714347e-07,23.63677575625661,2017-09-25 13:00:00
4.98616403714347e-07,25.50675103350244,2017-09-25 14:00:00
4.98616403714347e-07,27.063002504314397,2017-09-25 15:00:00
2.493082018578674e-06,28.289452338927788,2017-09-25 16:00:00
2.493082018578674e-06,29.251236360491816,2017-09-25 17:00:00
2.493082018578674e-06,29.86260614359486,2017-09-25 18:00:00
2.493082018578674e-06,30.120263671875023,2017-09-25 19:00:00
2.493082018578674e-06,29.935987007649032,2017-09-25 20:00:00
2.493082018578674e-06,29.142401820546297,2017-09-25 21:00:00
2.493082018578674e-06,27.1759595647124,2017-09-25 22:00:00
2.493082018578674e-06,25.833666905384234,2017-09-25 23:00:00
2.493082018578674e-06,24.830657679295427,2017-09-26 00:00:00
0.0,23.83259547774952,2017-09-26 01:00:00
0.0,22.971400955226045,2017-09-26 02:00:00
0.0,22.30932417055743,2017-09-26 03:00:00
0.0,21.790298845589973,2017-09-26 04:00:00
0.0,21.499248901644705,2017-09-26 05:00:00
0.0,21.33764609990743,2017-09-26 06:00:00
0.0,21.20531319338278,2017-09-26 07:00:00
0.0,20.905605956487307,2017-09-26 08:00:00
0.0,20.638466631166523,2017-09-26 09:00:00
0.0,20.356073980171516,2017-09-26 10:00:00
0.0,20.046472694190072,2017-09-26 11:00:00
0.0,20.624450061628067,2017-09-26 12:00:00
0.0,23.10332160970546,2017-09-26 13:00:00
0.0,25.263522326806026,2017-09-26 14:00:00
0.0,26.868831791002492,2017-09-26 15:00:00
0.0,28.068897494719977,2017-09-26 16:00:00
0.0,29.036040792872257,2017-09-26 17:00:00
0.0,29.577327728283137,2017-09-26 18:00:00
0.0,29.40830438973137,2017-09-26 19:00:00
0.0,29.199292602790536,2017-09-26 20:00:00
0.0,28.24863938644819,2017-09-26 21:00:00
0.0,26.729490599708583,2017-09-26 22:00:00
0.0,25.740910195203412,2017-09-26 23:00:00
0.0,24.887960713584903,2017-09-27 00:00:00
0.0,24.072526168083982,2017-09-27 01:00:00
0.0,23.281826745297906,2017-09-27 02:00:00
0.0,22.777642493959377,2017-09-27 03:00:00
0.0,22.35384739144422,2017-09-27 04:00:00
0.0,22.04218484523659,2017-09-27 05:00:00
0.0,21.67734178519197,2017-09-27 06:00:00
0.0,21.206137697473253,2017-09-27 07:00:00
0.0,20.946006656921668,2017-09-27 08:00:00
0.0,20.79388565222507,2017-09-27 09:00:00
0.0,20.574979816198265,2017-09-27 10:00:00
0.0,20.405131973556024,2017-09-27 11:00:00
0.0,21.334760335590715,2017-09-27 12:00:00
0.0,23.35479535730684,2017-09-27 13:00:00
0.0,25.08625394734929,2017-09-27 14:00:00
0.0,26.781022105364627,2017-09-27 15:00:00
2.0941888956061555e-05,28.03591733110011,2017-09-27 16:00:00
3.1911449837808414e-05,29.10942165692643,2017-09-27 17:00:00
3.4903148260101435e-05,29.704301358219595,2017-09-27 18:00:00
7.329661134621371e-05,29.365017924980293,2017-09-27 19:00:00
7.778415897965671e-05,29.238868799134366,2017-09-27 20:00:00
0.00013462642900325186,28.26348046007712,2017-09-27 21:00:00
0.00040188482139489473,26.830904602839666,2017-09-27 22:00:00
0.00040188482139489473,25.17241462480615,2017-09-27 23:00:00
0.00040188482139489473,24.049852305595323,2017-09-28 00:00:00
0.0006536861052713477,22.506380648186052,2017-09-28 01:00:00
0.0019276510167650866,21.20407643724701,2017-09-28 02:00:00
0.002479120759274705,20.38080910288636,2017-09-28 03:00:00
0.0026017803945887798,19.641641185756384,2017-09-28 04:00:00
0.002663110212245818,18.669550863061147,2017-09-28 05:00:00
0.002670090841897838,18.209477580564112,2017-09-28 06:00:00
0.002670589458301554,18.194224254889946,2017-09-28 07:00:00
0.002670589458301554,17.646341286755103,2017-09-28 08:00:00
0.002670589458301554,17.156998109045503,2017-09-28 09:00:00
0.002670589458301554,16.5052276255081,2017-09-28 10:00:00
0.002670589458301554,15.566117466432729,2017-09-28 11:00:00
0.002670589458301554,14.785724344777861,2017-09-28 12:00:00
0.002670589458301554,14.618350014407099,2017-09-28 13:00:00
0.002670589458301554,14.760576970017723,2017-09-28 14:00:00
0.002670589458301554,14.915583739031035,2017-09-28 15:00:00
0.002670589458301554,15.114701476885955,2017-09-28 16:00:00
0.0026715866911089844,15.423890510822048,2017-09-28 17:00:00
0.0026715866911089844,15.580958540061658,2017-09-28 18:00:00
0.0026715866911089844,15.02606728715756,2017-09-28 19:00:00
0.0026725839239164165,15.018646750343123,2017-09-28 20:00:00
0.0026730825403201326,14.784899840687387,2017-09-28 21:00:00
0.0026730825403201326,14.320291785692632,2017-09-28 22:00:00
0.0026730825403201326,13.920407301801902,2017-09-28 23:00:00
0.0026730825403201326,13.516812549503925,2017-09-29 00:00:00
0.0,13.168459571269182,2017-09-29 01:00:00
0.0,12.897197725495857,2017-09-29 02:00:00
0.0,12.5636858208901,2017-09-29 03:00:00
0.0,12.370339611668669,2017-09-29 04:00:00
0.0,12.128347661108023,2017-09-29 05:00:00
2.493082018578674e-06,11.98735746163311,2017-09-29 06:00:00
2.493082018578674e-06,10.772038432241459,2017-09-29 07:00:00
2.493082018578674e-06,10.435228511273635,2017-09-29 08:00:00
2.493082018578674e-06,10.160256397093121,2017-09-29 09:00:00
